Name,Date,Finishers,Link,Scraped,Year,FMM_Link
Surf City Marathon,2/4/2024,"1,542",https://www.marathonguide.com/results/browse.cfm?MIDD=484240204,True,2024.0,
Myrtle Beach Marathon,3/2/2024,"1,260",https://www.marathonguide.com/results/browse.cfm?MIDD=489240302,True,2024.0,
Rhode Races Newport Marathon,4/13/2024,955,https://www.marathonguide.com/results/browse.cfm?MIDD=9153240413,True,2024.0,
Louisiana Marathon,1/14/2024,997,https://www.marathonguide.com/results/browse.cfm?MIDD=4041240114,True,2024.0,
The Woodlands Marathon,3/2/2024,854,https://www.marathonguide.com/results/browse.cfm?MIDD=4022240302,True,2024.0,
2024 U.S. Olympic Team Trials - Women's Marathon,2/3/2024,117,https://www.marathonguide.com/results/browse.cfm?MIDD=8746240203,True,2024.0,
Tobacco Road Marathon,3/17/2024,869,https://www.marathonguide.com/results/browse.cfm?MIDD=3392240317,True,2024.0,
Wilmington Marathon,2/24/2024,899,https://www.marathonguide.com/results/browse.cfm?MIDD=3393240224,True,2024.0,
Carlsbad Marathon,1/14/2024,945,https://www.marathonguide.com/results/browse.cfm?MIDD=1013240114,True,2024.0,
Eau Claire Marathon,4/28/2024,624,https://www.marathonguide.com/results/browse.cfm?MIDD=3279240428,True,2024.0,
One City Marathon,3/3/2024,471,https://www.marathonguide.com/results/browse.cfm?MIDD=5699240303,True,2024.0,
Oklahoma City Memorial Marathon,4/28/2024,"1,877",https://www.marathonguide.com/results/browse.cfm?MIDD=1538240428,True,2024.0,
Salt Lake City Marathon,4/20/2024,"1,339",https://www.marathonguide.com/results/browse.cfm?MIDD=2034240420,True,2024.0,
Kentucky Derby Festival Marathon,4/27/2024,"1,225",https://www.marathonguide.com/results/browse.cfm?MIDD=1726240427,True,2024.0,
Coastal Delaware Running Festival,4/14/2024,699,https://www.marathonguide.com/results/browse.cfm?MIDD=5596240414,True,2024.0,
Boston Marathon,4/17/2023,"26,600",https://www.marathonguide.com/results/browse.cfm?MIDD=15230417,True,2023.0,
Chicago Marathon,10/8/2023,"48,574",https://www.marathonguide.com/results/browse.cfm?MIDD=67231008,True,2023.0,
New York City Marathon,11/5/2023,"51,295",https://www.marathonguide.com/results/browse.cfm?MIDD=472231105,True,2023.0,
Philadelphia Marathon,11/19/2023,"11,412",https://www.marathonguide.com/results/browse.cfm?MIDD=479231119,True,2023.0,
Grandma's Marathon,6/17/2023,"7,182",https://www.marathonguide.com/results/browse.cfm?MIDD=42230617,True,2023.0,
Houston Marathon,1/15/2023,"6,105",https://www.marathonguide.com/results/browse.cfm?MIDD=2230115,True,2023.0,
Indianapolis Monumental Marathon,10/28/2023,"4,214",https://www.marathonguide.com/results/browse.cfm?MIDD=2953231028,True,2023.0,
REVEL Big Bear and Half Marathon,11/18/2023,"1,837",https://www.marathonguide.com/results/browse.cfm?MIDD=6600231118,True,2023.0,
Toronto Waterfront Marathon,10/15/2023,"4,559",https://www.marathonguide.com/results/browse.cfm?MIDD=1287231015,True,2023.0,
REVEL Mt Charleston,4/1/2023,"1,516",https://www.marathonguide.com/results/browse.cfm?MIDD=6007230401,True,2023.0,
St. George Marathon,10/7/2023,"3,815",https://www.marathonguide.com/results/browse.cfm?MIDD=57231007,True,2023.0,
Richmond Marathon,11/11/2023,"4,083",https://www.marathonguide.com/results/browse.cfm?MIDD=477231111,True,2023.0,
Eugene Marathon,4/30/2023,"2,038",https://www.marathonguide.com/results/browse.cfm?MIDD=2558230430,True,2023.0,
Marine Corps Marathon,10/29/2023,"13,662",https://www.marathonguide.com/results/browse.cfm?MIDD=41231029,True,2023.0,
Phoenix Marathon,2/4/2023,"1,926",https://www.marathonguide.com/results/browse.cfm?MIDD=4338230204,True,2023.0,
Vancouver International Marathon,5/7/2023,"4,918",https://www.marathonguide.com/results/browse.cfm?MIDD=21230507,True,2023.0,
Mountains 2 Beach Marathon,5/21/2023,"1,423",https://www.marathonguide.com/results/browse.cfm?MIDD=4718230521,True,2023.0,
Columbus Marathon,10/15/2023,"3,006",https://www.marathonguide.com/results/browse.cfm?MIDD=473231015,True,2023.0,
Ottawa Marathon,5/8/2023,"2,431",https://www.marathonguide.com/results/browse.cfm?MIDD=24230528,True,2023.0,
Big Cottonwood Marathon,9/9/2023,"1,572",https://www.marathonguide.com/results/browse.cfm?MIDD=4587230909,True,2023.0,
Marathon P'tit Train du Nord,10/1/2023,"1,817",https://www.marathonguide.com/results/browse.cfm?MIDD=9173231001,True,2023.0,
Glass City Marathon,4/23/2023,"1,161",https://www.marathonguide.com/results/browse.cfm?MIDD=500230423,True,2023.0,
Jersey City Marathon,4/23/2023,"1,934",https://www.marathonguide.com/results/browse.cfm?MIDD=8542230423,True,2023.0,
Light at the End of the Tunnel Marathon,6/11/2023,757,https://www.marathonguide.com/results/browse.cfm?MIDD=3085230611,True,2023.0,
Toronto Marathon,5/7/2023,"2,417",https://www.marathonguide.com/results/browse.cfm?MIDD=64230507,True,2023.0,
Bayshore Marathon,5/27/2023,"1,366",https://www.marathonguide.com/results/browse.cfm?MIDD=513230527,True,2023.0,
Wineglass Marathon,10/1/2023,"1,647",https://www.marathonguide.com/results/browse.cfm?MIDD=539231001,True,2023.0,
Erie Marathon at Presque Isle,9/10/2023,944,https://www.marathonguide.com/results/browse.cfm?MIDD=533230910,True,2023.0,
Cincinnati Flying Pig Marathon,5/7/2023,"4,489",https://www.marathonguide.com/results/browse.cfm?MIDD=508230507,True,2023.0,
Baystate Marathon,10/15/2023,936,https://www.marathonguide.com/results/browse.cfm?MIDD=66231015,True,2023.0,
Detroit International Marathon,10/15/2023,"3,080",https://www.marathonguide.com/results/browse.cfm?MIDD=40231015,True,2023.0,
The Tunnel Lite Marathon,9/10/2023,664,https://www.marathonguide.com/results/browse.cfm?MIDD=5073230910,True,2023.0,
Napa Valley Marathon,3/5/2023,"1,452",https://www.marathonguide.com/results/browse.cfm?MIDD=492230305,True,2023.0,
Shamrock Sportsfest Marathon,3/19/2023,"1,689",https://www.marathonguide.com/results/browse.cfm?MIDD=495230319,True,2023.0,
Carmel Marathon,4/8/2023,936,https://www.marathonguide.com/results/browse.cfm?MIDD=3835230408,True,2023.0,
Long Beach Marathon,10/15/2023,"2,516",https://www.marathonguide.com/results/browse.cfm?MIDD=1057231015,True,2023.0,
Hartford Marathon,10/14/2023,"1,467",https://www.marathonguide.com/results/browse.cfm?MIDD=59231014,True,2023.0,
Dallas Marathon,12/10/2023,"3,377",https://www.marathonguide.com/results/browse.cfm?MIDD=475231210,True,2023.0,
Ventura Marathon,2/26/2023,758,https://www.marathonguide.com/results/browse.cfm?MIDD=4929230226,True,2023.0,
The San Francisco Marathon,7/23/2023,"4,883",https://www.marathonguide.com/results/browse.cfm?MIDD=521230723,True,2023.0,
Victoria Marathon,10/8/2023,"1,443",https://www.marathonguide.com/results/browse.cfm?MIDD=62231008,True,2023.0,
Pittsburgh Marathon,5/7/2023,"3,000",https://www.marathonguide.com/results/browse.cfm?MIDD=3077230507,True,2023.0,
Honolulu Marathon,12/10/2023,"15,044",https://www.marathonguide.com/results/browse.cfm?MIDD=480231210,True,2023.0,
Jack and Jill's Downhill Saturday Marathon,7/29/2023,761,https://www.marathonguide.com/results/browse.cfm?MIDD=6718230729,True,2023.0,
Utah Valley Marathon,6/3/2023,996,https://www.marathonguide.com/results/browse.cfm?MIDD=2964230603,True,2023.0,
Steamtown Marathon,10/8/2023,867,https://www.marathonguide.com/results/browse.cfm?MIDD=540231008,True,2023.0,
Rockies Marathon,6/3/2023,711,https://www.marathonguide.com/results/browse.cfm?MIDD=5437230603,True,2023.0,
Jack and Jill's Downhill Marathon,7/30/2023,510,https://www.marathonguide.com/results/browse.cfm?MIDD=5803230730,True,2023.0,
Cape Cod Marathon,10/8/2023,897,https://www.marathonguide.com/results/browse.cfm?MIDD=69231008,True,2023.0,
Vancouver International Marathon,5/5/2024,"6,067",https://www.marathonguide.com/results/browse.cfm?MIDD=21240505,True,2024.0,
REVEL White Mountains,5/5/2024,"1,683",https://www.marathonguide.com/results/browse.cfm?MIDD=9113240505,True,2024.0,
Toronto Marathon,5/5/2024,"2,975",https://www.marathonguide.com/results/browse.cfm?MIDD=64240505,True,2024.0,
Pittsburgh Marathon,5/5/2024,"3,585",https://www.marathonguide.com/results/browse.cfm?MIDD=3077240505,True,2024.0,
Cincinnati Flying Pig Marathon,5/5/2024,"4,057",https://www.marathonguide.com/results/browse.cfm?MIDD=508240505,True,2024.0,
OC Marathon,5/5/2024,"2,856",https://www.marathonguide.com/results/browse.cfm?MIDD=1908240505,True,2024.0,
Colorado Marathon,5/5/2024,"1,050",https://www.marathonguide.com/results/browse.cfm?MIDD=1786240505,True,2024.0,
Lincoln Marathon,5/5/2024,801,https://www.marathonguide.com/results/browse.cfm?MIDD=34240505,True,2024.0,
Long Island Marathon,5/5/2024,571,https://www.marathonguide.com/results/browse.cfm?MIDD=1048240505,True,2024.0,
Lake Wobegon Trail Marathon,5/4/2024,329,https://www.marathonguide.com/results/browse.cfm?MIDD=2851240504,True,2024.0,
California International Marathon,12/3/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=687231203,True,2023.0,
IMT Insurance Des Moines Marathon,10/15/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1750231015,True,2023.0,
SSM Health Madison Marathon (Mad City Marathon),11/12/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1608231112,True,2023.0,
Holualoa Tucson Marathon,12/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=555231210,True,2023.0,
Kiawah Island Golf Resort Kiawah Island Marathon,12/9/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=763231209,True,2023.0,
Rocket City Marathon,12/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=558231210,True,2023.0,
Bakline McKirdy Micro Marathon - NY II,10/14/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=9184231014,True,2023.0,
Enders Insurance Harrisburg Marathon,11/12/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1196231112,True,2023.0,
Baltimore Marathon,10/14/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1629231014,True,2023.0,
Lakefront Marathon,10/1/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=541231001,True,2023.0,
Spring Chance BQ.2 Marathon,4/13/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6242240413,True,2024.0,
AmeriHealth NJ Atlantic City Marathon,10/22/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=63231022,True,2023.0,
Mohawk-Hudson River Marathon,10/8/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1191231008,True,2023.0,
Gorham Savings Bank Maine Marathon,10/1/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1173231001,True,2023.0,
Marquette Marathon,9/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=3636230902,True,2023.0,
Garmin Kansas City Marathon,10/21/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1782231021,True,2023.0,
Life Time Miami Marathon,1/28/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1850240128,True,2024.0,
Cowtown Marathon,2/25/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6240225,True,2024.0,
Delaware Marathon,4/21/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2062240421,True,2024.0,
Fleet Feet Two Cities Marathon,11/5/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2878231105,True,2023.0,
Mayo Clinic Health System Mankato Marathon,10/21/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=3517231021,True,2023.0,
Asheville Marathon,3/16/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=4662240316,True,2024.0,
Oakland Marathon Running Festival,3/17/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3364240317,True,2024.0,
Memorial Medical Center WhistleStop Marathon,10/14/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=543231014,True,2023.0,
Ameris Bank Jacksonville Marathon,12/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=559231210,True,2023.0,
FirstEnergy Akron Marathon,9/30/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1920230930,True,2023.0,
Illinois Marathon,4/27/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3118240427,True,2024.0,
Sutter Health Memorial Medical Center Modesto Marathon,3/24/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3493240324,True,2024.0,
Mississippi Gulf Coast Marathon,12/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6183231210,True,2023.0,
Catholic Medical Center Manchester City Marathon,11/12/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2699231112,True,2023.0,
Williams Route 66 Marathon,11/19/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2469231119,True,2023.0,
Holland Haven Marathon,9/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5438230910,True,2023.0,
AdeNation Coast Guard Marathon,4/6/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=8179240406,True,2024.0,
Little Rock Marathon,3/3/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1880240303,True,2024.0,
Clarence Demar Marathon,9/24/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1056230924,True,2023.0,
TBK Bank Quad Cities Marathon,9/24/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=535230924,True,2023.0,
AdventHealth Town of Celebration Marathon,1/28/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=4895240128,True,2024.0,
Mount Desert Island marathon,10/15/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1742231015,True,2023.0,
The Buckeye Marathon,1/6/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5482240106,True,2024.0,
Salina Crossroads Marathon,11/4/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=8521231104,True,2023.0,
Publix Ft. Lauderdale A1A Marathon,2/18/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2368240218,True,2024.0,
Salisbury Marathon,4/6/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6342240406,True,2024.0,
Two Rivers Marathon Race Festival,3/16/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=4782240316,True,2024.0,
Fox Valley Marathon,9/17/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=3601230917,True,2023.0,
Martin Marietta City of Oaks Marathon,11/5/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2740231105,True,2023.0,
Wisconsin Marathon,5/4/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3119240504,True,2024.0,
Covenant Health Knoxville Marathon,4/7/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2163240407,True,2024.0,
Marshall University Marathon,11/5/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2207231105,True,2023.0,
Hyannis Marathon,3/3/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1584240303,True,2024.0,
Publix Space Coast Marathon,11/26/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1506231126,True,2023.0,
Sundance to Spearfish Marathon,9/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6392230910,True,2023.0,
Jekyll Island Marathon,1/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=7877240114,True,2024.0,
Loco Marathon,10/22/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5445231022,True,2023.0,
Sanford Bemidji Blue Ox Marathon,10/14/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4712231014,True,2023.0,
Chickamauga Battlefield Marathon,11/11/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1195231111,True,2023.0,
White River Marathon for Kenya (prev Mountain Home Marathon for,11/18/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2158231118,True,2023.0,
Big Beach Marathon,1/28/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6040240128,True,2024.0,
Athens Road Runners Classic City Marathon,1/28/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=9115240128,True,2024.0,
RACE Cancer Foundation Charles River Marathon,9/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6352230910,True,2023.0,
Bass Pro Shops Marathon,11/5/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2749231105,True,2023.0,
Tallahassee Marathon,2/11/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=776240211,True,2024.0,
Portneuf Medical Center Pocatello Marathon,9/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1549230902,True,2023.0,
Fort Worth Marathon,11/12/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2732231112,True,2023.0,
Bellingham Bay Marathon,9/24/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2739230924,True,2023.0,
Athens Marathon (Ohio),4/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=498240414,True,2024.0,
Catholic Health Suffolk County Marathon,10/22/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5777231022,True,2023.0,
Oregon Road Runners Club Vernonia Marathon,4/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3860240414,True,2024.0,
RF Events Martian Marathon,4/13/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1586240413,True,2024.0,
Garden of Life Palm Beaches Marathon Festival,12/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2121231210,True,2023.0,
Ohio River Road Runners Club Marathon,4/7/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=493240407,True,2024.0,
Mississippi River Marathon,2/3/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=4597240203,True,2024.0,
London OH Marathon,4/20/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=8463240420,True,2024.0,
Sackets Harbor Marathon & Half Marathon,9/3/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=8697230903,True,2023.0,
The Haunted Forest Marathon,10/29/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=7922231029,True,2023.0,
Sun Marathon,1/27/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6337240127,True,2024.0,
Veterans Marathon,11/11/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=3250231111,True,2023.0,
Erlanger Chattanooga Marathon,3/3/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5848240303,True,2024.0,
Duke City Marathon,10/22/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=538231022,True,2023.0,
Community First Fox Cities Marathon,9/17/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=55230917,True,2023.0,
Lost Dutchman Marathon,2/18/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1639240218,True,2024.0,
Zydeco Marathon,3/10/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=4964240310,True,2024.0,
South Texas International Marathon,12/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=9163231202,True,2023.0,
"Louisville Marathon, Half Marathon & 10K",11/5/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6378231105,True,2023.0,
Utah Navajo Health Systems Bears Ears Marathon,11/4/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=9048231104,True,2023.0,
Hogeye Marathon,4/20/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=730240420,True,2024.0,
Urgent Care of Berwick Skidaway Island Marathon,2/24/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5656240224,True,2024.0,
Panama City Beach Marathon,12/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6002231202,True,2023.0,
Clearwater Marathon,1/27/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=769240127,True,2024.0,
MDU Resources Bismarck Marathon,9/16/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1054230916,True,2023.0,
Seven Bridges Marathon,10/15/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4136231015,True,2023.0,
Great New York State Marathon,10/15/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=8181231015,True,2023.0,
Michelob Ultra El Paso Marathon,2/18/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2643240218,True,2024.0,
3 Bridges Marathon,12/9/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4866231209,True,2023.0,
Dignity Health Bakersfield Marathon,4/7/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=6104240407,True,2024.0,
Surfers Point Marathon,9/10/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5049230910,True,2023.0,
Gobbler Grind Marathon,11/19/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1504231119,True,2023.0,
Millinocket Marathon,12/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6486231202,True,2023.0,
Haig Point Daufuskie Island Marathon,1/13/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=7137240113,True,2024.0,
Long View Marathon,10/14/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6868231014,True,2023.0,
Hamptons Marathon,9/23/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2642230923,True,2023.0,
Platte Valley Companies Monument Marathon,9/30/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4513230930,True,2023.0,
Publix Florida Marathon & 1/2 Marathon,2/11/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3057240211,True,2024.0,
RDC Marathon,10/29/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=9241231029,True,2023.0,
USA Fit Marathon,1/28/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3821240128,True,2024.0,
Probility Ann Arbor Marathon,10/1/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4379231001,True,2023.0,
Infirmary Health Mobile Marathon (prev. First Light Marathon),1/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1693240114,True,2024.0,
Skagit Runners Skagit Flats Marathon,10/1/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1494231001,True,2023.0,
Jackson Hole Marathon,9/23/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4147230923,True,2023.0,
Horse Capital Marathon,4/13/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5769240413,True,2024.0,
Bend Marathon and Half,4/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5977240414,True,2024.0,
Big Island International Marathon,3/17/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1495240317,True,2024.0,
Elroy Apple Dumpling Day Marathon,9/9/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5277230909,True,2023.0,
Leavenworth Marathon,9/30/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2316230930,True,2023.0,
Heartland Marathon,9/24/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5806230924,True,2023.0,
Golden Driller Marathon,4/20/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5805240420,True,2024.0,
Shiprock Marathon,5/4/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1154240504,True,2024.0,
Redding Marathon,1/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1721240114,True,2024.0,
Cummins Mill Race Marathon,9/23/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=4943230923,True,2023.0,
Virginia Creeper Marathon,4/7/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=774240407,True,2024.0,
Abebe Bikila Day International Peace Marathon,9/9/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5109230909,True,2023.0,
Yonkers Marathon,9/17/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1055230917,True,2023.0,
Pacific Northwest Marathon,9/16/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5592230916,True,2023.0,
OMRR Run for the Ranch Marathon,12/30/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=2017231230,True,2023.0,
Greenbrier River Trail Association Greenbrier River Trail Marathon,10/8/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6686231008,True,2023.0,
Wenatchee Marathon,4/20/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2268240420,True,2024.0,
Tupelo Marathon,9/3/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=1493230903,True,2023.0,
Warm Up Columbus,2/4/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=9233230205,True,2024.0,
On Hill Events East Canyon Marathon,9/2/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=6318230902,True,2023.0,
Yakima River Canyon Marathon,4/6/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=1534240406,True,2024.0,
Maui Oceanfront Marathon,1/14/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=3051240114,True,2024.0,
Towpath Marathon,10/7/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=545231007,True,2023.0,
The Kauai Marathon,9/3/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=3101230903,True,2023.0,
McAllen Marathon,1/20/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=5334240120,True,2024.0,
Emerald Isle Marathon,10/28/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=5941231028,True,2023.0,
Continental Tire Mississippi Blues Marathon,2/24/2024,,https://www.marathonguide.com/results/browse.cfm?MIDD=2795240224,True,2024.0,
Pocono Mountains Marathon Race Festival,10/21/2023,,https://www.marathonguide.com/results/browse.cfm?MIDD=8433231021,True,2023.0,
